timestamp,value,metric,container,id,image,instance,job,name,namespace,pod
2025-06-12 18:48:05.867000103,3215290368.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:48:22.540999889,3215933440.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:48:34.424000025,3217006592.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:48:47.216000080,3217133568.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:49:04.944999933,3218444288.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:49:23.765000105,3318632448.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:49:37.529000044,3317592064.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:49:53.608000040,3323101184.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:50:11.148000002,3322888192.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:50:27.657999992,3324170240.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:50:38.401000023,3323408384.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:50:55.332000017,3326271488.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
